"","year","month","day","notes"
"1",2018,8,27,"Right after leaving for 3 days at Weber's"
"2",2018,9,4,"at camp bow wow"
"3",2018,10,1,"dogs at Webers from Sept 18-30"
"4",2018,10,9,"dogs at Webers from Oct 5-8"
"5",2018,10,16,"on 10/15 all had hair cuts"
"6",2018,10,22,"dogs at Webers from Oct 18-22"
"7",2018,11,18,"dogs at Webers from Nov 10-17"
"8",2019,1,8,"Simone/Gagne  at Webers from Dec 20-Jan 4, Raisin at PC Dec 20-Jan7"
"9",2019,9,6,"Gagne died 9/8/2019"
"10",2019,11,4,"on vacation? Dogs at kennel?"
"11",2020,2,3,"at Kennel?"
"12",2020,5,23,"first haircut in 3-4 months"
"13",2020,6,23,"in PC June 23-July 10, no wts taken, Raisin with us, Simone in kennel"
"14",2020,8,7,"in Denver and PC aug 9-aug 31, no wts taken, Raisin with us, Simone in kennel"
